"block","r","obs","lo","hi"
0,0,0,0,0
0,24,-24,-24,17.3333648474338
0,48,87.2219868957308,-48,17.6286293901768
0,72,176.639564101978,-25.0304364462497,25.0613280256756
0,96,249.195932275747,-38.0761824520329,24.8780509466065
0,120,281.600868378312,-31.8140145532141,23.81429758778
0,144,318.52494028759,-18.9316324095131,21.7232000737305
0,168,342.754040494034,-21.4605799296311,32.8564409387269
0,192,362.940221521788,-20.6515660982528,28.7076038546893
0,216,375.438689778135,-18.8280679930753,27.1280956889814
0,240,390.063476057689,-20.288143437447,25.7581816059918
0,264,406.061129864425,-25.3365061842173,28.9280020482078
0,288,416.327609125562,-22.3187962515087,20.3731796287738
0,312,421.919259573905,-23.686691424159,22.012599098802
0,336,431.048735929947,-24.7693579040169,24.848919974286
0,360,436.939023084293,-28.9207824906023,25.5899512709644
0,384,439.282633407333,-27.8500715868935,32.0102429176002
0,408,445.41741079291,-28.3499743381842,38.37240127492
0,432,451.421420748462,-28.3163149137571,45.9764016336194
0,456,457.384736315485,-31.852620581991,43.9267478799752
0,480,455.874715690696,-29.2912619603434,38.9069416620188
0,504,455.659839977116,-28.7949018483869,35.553947055512
0,528,458.442811329785,-25.7482565863234,39.1503018004072
0,552,460.246856647934,-25.8565316794671,39.9650043310672
0,576,458.30120716025,-30.7852613905756,46.9182380658578
0,600,458.846688404168,-30.1114407195679,45.1336938896918
0,624,460.691595733463,-27.3987267407421,42.9718974189343
0,648,457.309191024597,-34.3894941517068,40.5826933215997
0,672,458.199848532641,-33.6581875086699,40.6775101167627
0,696,461.910000338782,-38.1694691647223,40.5578429774356
0,720,462.591131857254,-37.2619190270299,38.955576658155
0,744,465.562285738866,-34.8165043539341,40.1701078634427
0,768,462.41618498457,-37.2967806252447,40.5688026042401
0,792,463.821067334963,-35.770422761871,41.8754293355697
0,816,466.956599425352,-35.2661963474109,43.7381855286454
0,840,471.047109922294,-40.8927941838566,41.4845992109056
0,864,471.333072624387,-47.912986686255,37.2962038565557
0,888,476.139863515651,-46.7840644920744,42.4403925631444
0,912,474.854733906574,-48.5162435080239,43.5683780114928
0,936,477.564988171331,-48.978802585753,45.3220012460429
0,960,477.527223961653,-43.998051001315,45.2357313656769
0,984,481.100116910443,-45.6424678863333,49.5533174139343
0,1008,481.059004045547,-51.9146441029836,49.0841217976608
0,1032,482.924040425638,-51.1650359020579,53.3871303321632
0,1056,481.177555047187,-54.8352137541664,54.4418978913086
0,1080,480.411798270566,-52.7523428614429,57.0345694591374
0,1104,481.183215948417,-52.3933112478235,55.2698822921698
0,1128,480.710431764766,-53.0249210431866,53.1559354984881
0,1152,482.860407399909,-49.4865077605693,56.7937812644439
0,1176,488.0560037352,-48.05271787328,62.6168309581694
0,1200,488.532459133261,-47.0708701668436,63.3913194558154
0,1224,492.610601460994,-50.9136706948295,59.3936538112816
0,1248,494.982749951027,-52.2801946102297,60.7381183697178
0,1272,495.507948153989,-55.4609591417761,64.488056904074
0,1296,497.098436278376,-57.7730121533518,67.3136463404037
0,1320,500.980813556317,-56.9958168876608,68.3936828122378
0,1344,498.761129880329,-57.9546923462287,68.6478188698952
0,1368,496.988028597196,-62.8612493620174,66.5190352414395
0,1392,500.188002248211,-64.7665193368364,64.7656561935801
0,1416,504.584574100811,-69.2483275681186,63.8493893106195
0,1440,506.365661159193,-66.5358349630985,66.0563324438929
0,1464,506.601222935498,-63.74590145292,68.1162872575219
0,1488,507.733469243133,-61.138858841591,64.8322361852368
0,1512,505.964378190378,-62.242896417551,65.5504569393879
0,1536,505.23905587598,-63.0675781515597,70.2434574124559
0,1560,507.983022107075,-66.4402262145927,70.6034040886059
0,1584,507.390068393218,-70.6583441537166,75.0820488781208
0,1608,503.212953139096,-71.6013639211719,76.3826894882375
0,1632,502.695545698279,-71.0783543681725,78.3685480944698
0,1656,501.824720286743,-73.516854920206,76.5750522346511
0,1680,501.460294457642,-75.9533745914034,77.2604400246039
0,1704,499.167972480097,-73.8057846687018,77.9395649533333
0,1728,498.937423177458,-74.4079130407822,79.9826648503217
0,1752,498.896663519037,-75.2907526729082,80.481275124577
0,1776,498.900686466156,-75.2274323454319,77.1012055564238
0,1800,501.074638866502,-77.9209144073764,77.8723950454505
0,1824,499.578050008873,-80.8266947428444,77.0638795628943
0,1848,499.112941997927,-75.3028692774742,77.2776447712292
0,1872,496.664604611011,-79.538377955131,75.9378388277162
0,1896,497.466851102851,-79.5649713712969,74.8076761074162
0,1920,496.879403482208,-76.3346990213504,76.8823894978357
0,1944,498.743961442007,-78.4937181036478,78.1616228713224
0,1968,500.756631120662,-79.5968477981673,80.3229770126782
0,1992,500.551650213683,-81.0076855068357,79.6667632400972
0,2016,500.132014303869,-80.1367945207232,80.0268570763915
0,2040,499.521098568201,-75.8563255772467,79.0976537350416
0,2064,495.417736643813,-74.1485153883568,80.9701435396382
0,2088,491.764291008942,-77.6030582439007,84.8175992793958
0,2112,488.864082592112,-79.6596031341624,83.7348065107653
0,2136,486.704494473071,-81.6060210131973,82.3124883164505
0,2160,483.961168703787,-82.6484209614705,84.5144423566862
0,2184,482.96077391519,-84.2871291199885,84.5759867188553
0,2208,481.602883982241,-88.5964560289844,84.153333557515
0,2232,480.598418046001,-89.3230254234968,84.53043368204
0,2256,480.588138473559,-88.3528613831231,82.6274081087872
0,2280,483.730222151314,-89.656739862015,85.277585517555
0,2304,481.568433892437,-87.1192561878534,85.9875581033516
0,2328,480.874655969177,-87.5956978326817,87.9919656302354
0,2352,482.6250781188,-88.5639464241663,88.9321819330071
0,2376,481.081105303961,-88.5620283492408,92.4672994525781
0,2400,480.540900197003,-92.1290277313929,94.426087147247
0,2424,480.772886954484,-90.1875410462967,94.8589680204705
0,2448,479.35508073678,-92.0721507636786,92.338072796007
0,2472,476.453004925496,-94.1502656490029,92.1724426306068
0,2496,475.706800623268,-93.6548881138215,91.8467796438986
0,2520,474.767450859109,-93.6463128467203,93.2668829622603
0,2544,474.323449966175,-95.8295591797614,93.8915470375291
0,2568,471.431043795316,-99.2619397538501,96.751720697137
0,2592,472.214875777498,-99.2501358097775,96.5405971899413
0,2616,469.587978157467,-101.78873771129,100.345901785583
0,2640,468.701920617482,-103.296028001593,97.7146319859867
0,2664,466.926939185282,-104.739767987577,97.3535120843185
0,2688,464.577588809083,-104.822992153912,97.7984072970021
0,2712,460.851216546782,-104.707452004436,99.6556920396438
0,2736,459.590738512224,-103.960964651568,99.5574863008637
0,2760,458.306590175395,-101.87819526674,102.056698473394
0,2784,458.213838911332,-103.869185278687,101.544792803408
0,2808,456.167737750552,-102.124099246497,103.213472435942
0,2832,455.53916882041,-104.319627305159,103.477389758795
0,2856,456.224909513822,-104.239903340089,102.708354137656
0,2880,459.554365864319,-103.569483302326,104.678914956096
0,2904,457.749797293276,-102.255395455612,107.12853295443
0,2928,456.827235276968,-100.073127425735,107.750277843009
0,2952,459.949172988191,-101.412036205361,107.435208967286
0,2976,459.102204272051,-101.63736335026,108.295880134055
0,3000,459.201156292489,-104.530602432944,108.547715630899
1,0,0,0,0
1,24,-24,-9.93536912166052,5.71000262693944
1,48,19.3747536243667,-8.19429435520211,7.60886479482603
1,72,83.7088612340166,-7.12450637337891,9.68773620522148
1,96,122.373787952305,-7.67595848575307,8.38769833568873
1,120,144.74048455263,-6.2698311304946,7.70411462592816
1,144,158.064852137716,-6.17406066735887,8.77168140560903
1,168,170.067069396428,-6.11915344853455,8.5351853370521
1,192,180.287501817238,-4.45056348264225,5.7561021754014
1,216,186.473899298995,-4.68113539308663,6.03395131764805
1,240,192.654110463818,-5.36623747323256,5.52290861632977
1,264,197.093546006175,-6.40984626903713,6.41287545781864
1,288,203.074937995532,-6.670733357926,7.55921179175294
1,312,204.724573671134,-5.19451654638141,8.52954110605577
1,336,208.700418537277,-5.33804125996858,7.99802592233107
1,360,209.251217313883,-6.2556325500745,6.82654294162683
1,384,211.707470733382,-7.74065813448914,7.38770021800764
1,408,216.391506220767,-9.77602754994695,8.37953981747393
1,432,219.756975506911,-10.6137301256753,8.04197424642638
1,456,223.724096580877,-10.7075106131887,8.48405735058725
1,480,226.096675533797,-10.5678852585227,8.3967116931409
1,504,227.101363751504,-10.9340864253354,8.81421765658922
