,aspect_ratio,elongation,compactness,alpha_compactness,core_to_edge_ratio,fractal_dim,clark_evans,area_m2,perimeter_m,n_points,nnd_mean
aspect_ratio,1.0,1.0,-0.8508404096174441,-0.2992454355833405,-0.44202559788256585,-0.43663834670588497,0.2229238747577929,-0.25977315412147195,-0.006975384386109967,-0.21460315368089947,0.07717022954078903
elongation,1.0,1.0,-0.8508404096174441,-0.2992454355833405,-0.44202559788256585,-0.43663834670588497,0.2229238747577929,-0.25977315412147195,-0.006975384386109967,-0.21460315368089947,0.07717022954078903
compactness,-0.8508404096174441,-0.8508404096174441,1.0,0.33912290014855045,0.6163921785624387,0.5761140690820331,-0.40035259741635393,0.4295790701721302,0.162222408746267,0.4349849136013786,-0.1862878958869423
alpha_compactness,-0.2992454355833405,-0.2992454355833405,0.33912290014855045,1.0,-0.18609396777105505,0.23371040681368113,0.20180721062678006,-0.3258923873172385,-0.4965831282455549,-0.20625491465805756,-0.13983020584264913
core_to_edge_ratio,-0.44202559788256585,-0.44202559788256585,0.6163921785624387,-0.18609396777105505,1.0,0.4099106077026116,-0.7064725440685821,0.96894188145644,0.8405544505643725,0.7657790943808286,0.015291201180674206
fractal_dim,-0.43663834670588497,-0.43663834670588497,0.5761140690820331,0.23371040681368113,0.4099106077026116,1.0,-0.2829499775178478,0.29689746281520485,0.12243218468614944,0.30605966933263057,-0.13861929236239245
clark_evans,0.2229238747577929,0.2229238747577929,-0.40035259741635393,0.20180721062678006,-0.7064725440685821,-0.2829499775178478,1.0,-0.6990562667981408,-0.630694502370056,-0.8292507240500316,0.5458070587795788
area_m2,-0.25977315412147195,-0.25977315412147195,0.4295790701721302,-0.3258923873172385,0.96894188145644,0.29689746281520485,-0.6990562667981408,1.0,0.9440717283353346,0.7638640215679643,0.07764656070838709
perimeter_m,-0.006975384386109967,-0.006975384386109967,0.162222408746267,-0.4965831282455549,0.8405544505643725,0.12243218468614944,-0.630694502370056,0.9440717283353346,1.0,0.7057710711815234,0.13476098831652253
n_points,-0.21460315368089947,-0.21460315368089947,0.4349849136013786,-0.20625491465805756,0.7657790943808286,0.30605966933263057,-0.8292507240500316,0.7638640215679643,0.7057710711815234,1.0,-0.48984107289136725
nnd_mean,0.07717022954078903,0.07717022954078903,-0.1862878958869423,-0.13983020584264913,0.015291201180674206,-0.13861929236239245,0.5458070587795788,0.07764656070838709,0.13476098831652253,-0.48984107289136725,1.0
